index,title,combine,overview,cast
10,Superman Returns,Adventure Fantasy Action Science Fictionsaving the world dc comics invulnerability sequel superheroBrandon Routh Kevin Spacey Kate Bosworth James Marsden Parker PoseyBryan Singer,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",Brandon Routh Kevin Spacey Kate Bosworth James Marsden Parker Posey
11,Quantum of Solace,"Adventure Action Thriller Crimekilling undercover secret agent british secret serviceFor love, for hate, for justice, for revenge.Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo GianniniMarc Forster","Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",Daniel Craig Olga Kurylenko Mathieu Amalric Judi Dench Giancarlo Giannini
12,Pirates of the Caribbean: Dead Man's Chest,Adventure Fantasy Actionwitch fortune teller bondage exotic island monsterJack is back!Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill NighyGore Verbinski,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",Johnny Depp Orlando Bloom Keira Knightley Stellan Skarsg\u00e5rd Bill Nighy
13,The Lone Ranger,Action Adventure Westerntexas horse survivor texas ranger partnerNever Take Off the MaskJohnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge DaleGore Verbinski,"The Texas Rangers chase down a gang of outlaws led by Butch Cavendish, but the gang ambushes the Rangers, seemingly killing them all. One survivor is found, however, by an American Indian named Tonto, who nurses him back to health. The Ranger, donning a mask and riding a white stallion named Silver, teams up with Tonto to bring the unscrupulous gang and others of that ilk to justice.",Johnny Depp Armie Hammer William Fichtner Helena Bonham Carter James Badge Dale
14,Man of Steel,Action Adventure Fantasy Science Fictionsaving the world dc comics superhero based on comic book superhumanYou will believe that a man can fly.Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane LaneZack Snyder,"A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",Henry Cavill Amy Adams Michael Shannon Kevin Costner Diane Lane
15,The Chronicles of Narnia: Prince Caspian,Adventure Family Fantasybased on novel fictional place brother sister relationship lion human beingHope has a new face.Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie HenleyAndrew Adamson,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",Ben Barnes William Moseley Anna Popplewell Skandar Keynes Georgie Henley
16,The Avengers,Science Fiction Action Adventurenew york shield marvel comic superhero based on comic bookSome assembly required.Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett JohanssonJoss Whedon,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",Robert Downey Jr. Chris Evans Mark Ruffalo Chris Hemsworth Scarlett Johansson
17,Pirates of the Caribbean: On Stranger Tides,Adventure Action Fantasysea captain mutiny sword prime ministerLive Forever Or Die Trying.Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey RushRob Marshall,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",Johnny Depp Pen\u00e9lope Cruz Ian McShane Kevin McNally Geoffrey Rush
18,Men in Black 3,Action Comedy Science Fictiontime travel time machine alien fictional government agency seeing the futureThey are back... in time.Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma ThompsonBarry Sonnenfeld,"Agents J (Will Smith) and K (Tommy Lee Jones) are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K (Josh Brolin) to save his partner, the agency, and the future of humankind.",Will Smith Tommy Lee Jones Josh Brolin Michael Stuhlbarg Emma Thompson
19,The Hobbit: The Battle of the Five Armies,Action Adventure Fantasycorruption elves dwarves orcs middle-earth (tolkien)Witness the defining chapter of the Middle-Earth sagaMartin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavishPeter Jackson,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.",Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish
20,The Amazing Spider-Man,Action Adventure Fantasyloss of father vigilante serum marvel comic scientific experimentThe untold story begins.Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell ScottMarc Webb,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",Andrew Garfield Emma Stone Rhys Ifans Denis Leary Campbell Scott
21,Robin Hood,"Action Adventurerobin hood archer knight sherwood forest bow and arrowRise and rise again, until lambs become lions.Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark StrongRidley Scott","When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",Russell Crowe Cate Blanchett Max von Sydow William Hurt Mark Strong
22,The Hobbit: The Desolation of Smaug,Adventure Fantasyelves dwarves orcs hobbit dragonBeyond darkness... beyond desolation... lies the greatest danger of all.Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavishPeter Jackson,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",Martin Freeman Ian McKellen Richard Armitage Ken Stott Graham McTavish
23,The Golden Compass,Adventure Fantasyengland compass experiment lordship uncleThere are worlds beyond our own - the compass will show the way.Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva GreenChris Weitz,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",Dakota Blue Richards Nicole Kidman Daniel Craig Sam Elliott Eva Green
24,King Kong,Adventure Drama Actionfilm business screenplay show business film making film producerThe eighth wonder of the world.Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin HanksPeter Jackson,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",Naomi Watts Jack Black Adrien Brody Thomas Kretschmann Colin Hanks
25,Titanic,Drama Romance Thrillershipwreck iceberg ship panic titanicNothing on Earth could come between them.Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy BatesJames Cameron,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",Kate Winslet Leonardo DiCaprio Frances Fisher Billy Zane Kathy Bates
26,Captain America: Civil War,Adventure Action Science Fictioncivil war war marvel comic sequel superheroDivided We FallChris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony MackieAnthony Russo,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",Chris Evans Robert Downey Jr. Scarlett Johansson Sebastian Stan Anthony Mackie
27,Battleship,Thriller Action Adventure Science Fictionfight u.s. navy mind reading hong kong soccerThe Battle for Earth Begins at SeaTaylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu AsanoPeter Berg,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano
28,Jurassic World,Action Adventure Science Fiction Thrillermonster dna tyrannosaurus rex velociraptor islandThe park is open.Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick RobinsonColin Trevorrow,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson
29,Skyfall,Action Adventure Thrillerspy secret agent sociopath killer art galleryThink on your sins.Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie HarrisSam Mendes,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",Daniel Craig Judi Dench Javier Bardem Ralph Fiennes Naomie Harris
30,Spider-Man 2,Action Adventure Fantasydual identity love of one's life pizza boy marvel comic sequelThere's a hero in all of us.Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary HarrisSam Raimi,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",Tobey Maguire Kirsten Dunst James Franco Alfred Molina Rosemary Harris
31,Iron Man 3,Action Adventure Science Fictionterrorist war on terror tennessee malibu marvel comicUnleash the power behind the armor.Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca HallShane Black,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Robert Downey Jr. Gwyneth Paltrow Don Cheadle Guy Pearce Rebecca Hall
32,Alice in Wonderland,Family Fantasy Adventurebased on novel fictional place queen fantasy alice in wonderlandYou're invited to a very important date.Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin GloverTim Burton,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",Mia Wasikowska Johnny Depp Anne Hathaway Helena Bonham Carter Crispin Glover
33,X-Men: The Last Stand,Adventure Action Science Fiction Thrillermutant marvel comic based on comic book superhuman beastTake a StandHugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke JanssenBrett Ratner,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",Hugh Jackman Halle Berry Ian McKellen Patrick Stewart Famke Janssen
34,Monsters University,Animation Familymonster dormitory games animation best friendSchool never looked this scary.Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah JohnstonDan Scanlon,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,Billy Crystal John Goodman Steve Buscemi Helen Mirren Noah Johnston
35,Transformers: Revenge of the Fallen,Science Fiction Action Adventureegypt sun chaos symbol artifactRevenge is coming.Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese GibsonMichael Bay,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",Shia LaBeouf Megan Fox Josh Duhamel Rainn Wilson Tyrese Gibson
36,Transformers: Age of Extinction,Science Fiction Action Adventuresequel alien transformers giant robot robotThis is not war. It's extinction.Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack ReynorMichael Bay,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",Mark Wahlberg Stanley Tucci Kelsey Grammer Nicola Peltz Jack Reynor
37,Oz: The Great and Powerful,"Fantasy Adventure Familycircus witch magic hope illusionIn Oz, nothing is what it seemsJames Franco Mila Kunis Rachel Weisz Michelle Williams Zach BraffSam Raimi","Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",James Franco Mila Kunis Rachel Weisz Michelle Williams Zach Braff
38,The Amazing Spider-Man 2,Action Adventure Fantasyobsession marvel comic sequel based on comic book electrocutionNo more secrets.Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell ScottMarc Webb,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",Andrew Garfield Emma Stone Jamie Foxx Dane DeHaan Campbell Scott
39,TRON: Legacy,Adventure Action Science Fictionartificial intelligence secret identity computer program dystopia computerThe Game Has Changed.Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCostaJoseph Kosinski,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",Garrett Hedlund Jeff Bridges Olivia Wilde Bruce Boxleitner Yaya DaCosta
40,Cars 2,Animation Family Adventure Comedycar race sequel comedy anthropomorphism best friendKa-ciao!Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John TurturroJohn Lasseter,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,Owen Wilson Larry the Cable Guy Michael Caine Emily Mortimer John Turturro
41,Green Lantern,"Adventure Action Thriller Science Fictiondc comics transformation superhero alien alien infectionIn our darkest hour, there will be light.Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark StrongMartin Campbell","For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",Ryan Reynolds Blake Lively Peter Sarsgaard Tim Robbins Mark Strong
42,Toy Story 3,Animation Family Comedyhostage college toy barbie animationNo toy gets left behind.Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael KeatonLee Unkrich,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",Tom Hanks Tim Allen Ned Beatty Joan Cusack Michael Keaton
43,Terminator Salvation,Action Science Fiction Thrillersaving the world artificial intelligence prophecy san francisco cyborgThe End Begins.Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas HowardMcG,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",Christian Bale Sam Worthington Anton Yelchin Moon Bloodgood Bryce Dallas Howard
44,Furious 7,Actioncar race speed revenge suspense carVengeance Hits HomeVin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese GibsonJames Wan,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,Vin Diesel Paul Walker Dwayne Johnson Michelle Rodriguez Tyrese Gibson
45,World War Z,Action Drama Horror Science Fiction Thrillerdystopia apocalypse zombie nuclear weapons multiple perspectivesRemember Philly!Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge DaleMarc Forster,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.",Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale
46,X-Men: Days of Future Past,"Action Adventure Fantasy Science Fiction1970s mutant time travel marvel comic based on comic bookTo save the future, they must alter the pastHugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle BerryBryan Singer",The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.,Hugh Jackman James McAvoy Michael Fassbender Jennifer Lawrence Halle Berry
47,Star Trek Into Darkness,Action Adventure Science Fictionspacecraft friendship sequel futuristic spaceEarth Will FallChris Pine Zachary Quinto Zoe Saldana Karl Urban Simon PeggJ.J. Abrams,"When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.",Chris Pine Zachary Quinto Zoe Saldana Karl Urban Simon Pegg
48,Jack the Giant Slayer,Action Family Fantasybased on fairy tale giantPrepare for a giant adventureNicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShaneBryan Singer,"The story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants. Unleashed on the Earth for the first time in centuries, the giants strive to reclaim the land they once lost, forcing the young man, Jack into the battle of his life to stop them. Fighting for a kingdom, its people, and the love of a brave princess, he comes face to face with the unstoppable warriors he thought only existed in legend–and gets the chance to become a legend himself.",Nicholas Hoult Eleanor Tomlinson Ewan McGregor Stanley Tucci Ian McShane
49,The Great Gatsby,Drama Romancebased on novel infidelity obsession hope 3dReserving judgments is a matter of infinite hope... I come to the admission that it has a limit.Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth DebickiBaz Luhrmann,"An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",Leonardo DiCaprio Tobey Maguire Carey Mulligan Joel Edgerton Elizabeth Debicki
50,Prince of Persia: The Sands of Time,Adventure Fantasy Action Romancepersia sandstorm brother against brother armageddon regentDefy the FutureJake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve ToussaintMike Newell,"A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",Jake Gyllenhaal Gemma Arterton Ben Kingsley Alfred Molina Steve Toussaint
51,Pacific Rim,"Action Science Fiction Adventuredystopia giant robot giant monster apocalypse imaxTo Fight Monsters, We Created MonstersIdris Elba Charlie Hunnam Charlie Day Ron Perlman Burn GormanGuillermo del Toro","When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",Idris Elba Charlie Hunnam Charlie Day Ron Perlman Burn Gorman
52,Transformers: Dark of the Moon,Action Science Fiction Adventuremoon spacecraft traitor bodyguard alien planetThe invasion we always feared. An enemy we never expected.Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh DuhamelMichael Bay,"Sam Witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of Autobot-leader Optimus Prime. The film centers around the space race between the USSR and the USA, suggesting there was a hidden Transformers role in it all that remains one of the planet's most dangerous secrets.",Shia LaBeouf John Malkovich Ken Jeong Frances McDormand Josh Duhamel
